timestamp,symbol,price
2015-08-14T00:00:00.000+02:00,ADP,82.99
2015-09-14T00:00:00.000+02:00,NKE,111.78
2015-09-18T00:00:00.000+02:00,DO,20.18
2015-08-07T00:00:00.000+02:00,TGT,78.96
2015-08-21T00:00:00.000+02:00,F,13.86
2015-09-15T00:00:00.000+02:00,OKE,34.84
2015-08-24T00:00:00.000+02:00,PEG,40.66
2015-09-10T00:00:00.000+02:00,ORLY,241.24
2015-08-14T00:00:00.000+02:00,ALXN,186.58
2015-08-06T00:00:00.000+02:00,GMCR,52.67
2015-09-14T00:00:00.000+02:00,C,50.980000000000004
2015-08-10T00:00:00.000+02:00,HAR,118.29
2015-09-17T00:00:00.000+02:00,PEG,40.62
2015-08-07T00:00:00.000+02:00,CTL,27.65
2015-09-11T00:00:00.000+02:00,LM,42.6
2015-09-03T00:00:00.000+02:00,FLIR,28.38
2015-08-06T00:00:00.000+02:00,EQIX,280.0
2015-08-05T00:00:00.000+02:00,FSLR,51.919999999999995
2015-08-20T00:00:00.000+02:00,MAT,22.76
2015-09-10T00:00:00.000+02:00,ANTM,143.91
2015-09-17T00:00:00.000+02:00,MET,47.77
2015-08-11T00:00:00.000+02:00,ORLY,247.64
2015-08-03T00:00:00.000+02:00,URBN,32.42
2015-09-22T00:00:00.000+02:00,CMCSA,57.709999999999994
2015-08-10T00:00:00.000+02:00,FB,94.15
2015-09-17T00:00:00.000+02:00,FMC,38.81
2015-09-10T00:00:00.000+02:00,NRG,18.34
2015-08-04T00:00:00.000+02:00,EQIX,280.04
2015-08-20T00:00:00.000+02:00,F,14.409999999999998
2015-09-10T00:00:00.000+02:00,ORCL,37.62
2015-09-08T00:00:00.000+02:00,GILD,104.9
2015-08-13T00:00:00.000+02:00,COH,31.47
2015-09-15T00:00:00.000+02:00,V,70.5
2015-08-10T00:00:00.000+02:00,INTC,29.64
2015-08-12T00:00:00.000+02:00,FFIV,132.71
2015-09-04T00:00:00.000+02:00,ANTM,142.06
2015-09-16T00:00:00.000+02:00,AN,60.61
2015-09-01T00:00:00.000+02:00,LM,42.71
